,Variable,Year,Region,Subregion,Value
952,AI stud fees and herd testing ($),1990,QL,QLD Cape York and the Gulf,0.0
953,Accounting services ($),1990,QL,QLD Cape York and the Gulf,2320.0
954,Advisory services ($),1990,QL,QLD Cape York and the Gulf,0.0
955,Age of owner manager (yrs),1990,QL,QLD Cape York and the Gulf,45.0
956,Age of spouse (yrs),1990,QL,QLD Cape York and the Gulf,44.0
957,Agistment ($),1990,QL,QLD Cape York and the Gulf,1530.0
958,Area operated at 30 June (ha),1990,QL,QLD Cape York and the Gulf,36041.0
959,Barley area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
960,Barley produced (t),1990,QL,QLD Cape York and the Gulf,0.0
961,Barley receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
962,Beef bulls at 30 June (no.),1990,QL,QLD Cape York and the Gulf,59.0
963,Beef calves at 30 June (no.),1990,QL,QLD Cape York and the Gulf,624.0
964,Beef cattle purchased ($),1990,QL,QLD Cape York and the Gulf,12960.0
965,Beef cattle purchased (no.),1990,QL,QLD Cape York and the Gulf,5.0
966,Beef cattle receipts ($),1990,QL,QLD Cape York and the Gulf,438510.0
967,Beef cattle sold (no.),1990,QL,QLD Cape York and the Gulf,478.0
968,Beef cattle transferred off farm (no.),1990,QL,QLD Cape York and the Gulf,271.0
969,Beef cattle transferred onto farm (no.),1990,QL,QLD Cape York and the Gulf,23.0
970,Beef cows at 30 June (no.),1990,QL,QLD Cape York and the Gulf,1240.0
971,Beef heifers at 30 June (no.),1990,QL,QLD Cape York and the Gulf,414.0
972,Beef herd at 30 June (no.),1990,QL,QLD Cape York and the Gulf,3065.0
973,Branding rate (%),1990,QL,QLD Cape York and the Gulf,64.8
974,Buildup in trading stocks ($),1990,QL,QLD Cape York and the Gulf,18720.0
975,Canola area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
976,Canola produced (t),1990,QL,QLD Cape York and the Gulf,0.0
977,Canola receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
978,Capital appreciation ($),1990,QL,QLD Cape York and the Gulf,104060.0
979,Capital at 1 July ($),1990,QL,QLD Cape York and the Gulf,3323120.0
980,Change in farm debt ($),1990,QL,QLD Cape York and the Gulf,-5220.0
981,Contracts - cropping ($),1990,QL,QLD Cape York and the Gulf,0.0
982,Contracts - livestock ($),1990,QL,QLD Cape York and the Gulf,19750.0
983,Cotton receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
984,Crop and pasture chemicals ($),1990,QL,QLD Cape York and the Gulf,370.0
985,Dairy cattle at June 30 (no.),1990,QL,QLD Cape York and the Gulf,0.0
986,Depreciation ($),1990,QL,QLD Cape York and the Gulf,31940.0
987,Electricity ($),1990,QL,QLD Cape York and the Gulf,600.0
988,Equity ratio at 30 June (%),1990,QL,QLD Cape York and the Gulf,94.0
989,Ewes at 30 June (no.),1990,QL,QLD Cape York and the Gulf,0.0
990,Family share of farm income ($),1990,QL,QLD Cape York and the Gulf,61730.0
991,Farm business debt at 30 June ($),1990,QL,QLD Cape York and the Gulf,166220.0
992,Farm business equity June 30 ($),1990,QL,QLD Cape York and the Gulf,2778030.0
993,Farm business profit ($),1990,QL,QLD Cape York and the Gulf,167990.0
994,Farm cash income ($),1990,QL,QLD Cape York and the Gulf,282870.0
995,Farm liquid assets at 30 June ($),1990,QL,QLD Cape York and the Gulf,49360.0
996,Fertiliser ($),1990,QL,QLD Cape York and the Gulf,0.0
997,Field peas area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
998,Field peas produced (t),1990,QL,QLD Cape York and the Gulf,0.0
999,Field peas receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1000,Fodder ($),1990,QL,QLD Cape York and the Gulf,29720.0
1001,Fuel oil and grease ($),1990,QL,QLD Cape York and the Gulf,30470.0
1002,Grain legumes area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1003,Grain legumes produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1004,Grain legumes receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1005,Handling and marketing ($),1990,QL,QLD Cape York and the Gulf,17160.0
1006,Hours worked on farm - total (hrsperwk),1990,QL,QLD Cape York and the Gulf,
1007,Hours worked on farm by owner manager (hrsperwk),1990,QL,QLD Cape York and the Gulf,
1008,Hours worked on farm by spouse (hrsperwk),1990,QL,QLD Cape York and the Gulf,
1009,Imputed labor cost ($),1990,QL,QLD Cape York and the Gulf,101660.0
1010,Insurance ($),1990,QL,QLD Cape York and the Gulf,4590.0
1011,Interest paid ($),1990,QL,QLD Cape York and the Gulf,25580.0
