Table,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
Activity 1,Slaughter,Slaughter weight,Production,Exports (inc reexports),Consumption,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Price,Exports (inc reexports),Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production
Activity 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity,Total,Total,Beef and veal,Beef and veal,Beef and veal,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Total live cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Total live cattle,Beef and veal - boneless chilled,Beef and veal - boneless frozen,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal
Reporter,Australia,Australia,Australia,Australia,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,United States of America,Australia,Argentina,Australia,Brazil,Canada,China,European Union 28 (EU),India,Japan,Korea Republic of,Mexico,New Zealand,Russian Federation,United States of America,Uruguay,World,Argentina,Australia,Brazil,Canada,China,European Union 28 (EU),India,Japan,Mexico,New Zealand,Pakistan,Russian Federation,South Africa,United States of America,Uruguay,World
Location,,,,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,United States of America,China,Hong Kong,Indonesia,Japan,Korea Republic of,Malaysia,Philippines,Singapore,Taiwan,Thailand,Vietnam,Commonwealth of Independent States (CIS),European Union 28 (EU),Jordan,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,New Zealand,Papua New Guinea,World,China,Indonesia,Japan,Malaysia,Philippines,Russian Federation,Thailand,Vietnam,Israel,Saudi Arabia,World,China,Indonesia,Vietnam,World,World,Canada,United States of America,China,Hong Kong,Indonesia,Japan,Korea Republic of,Malaysia,Philippines,Singapore,Taiwan,Thailand,Vietnam,Commonwealth of Independent States (CIS),European Union 28 (EU),Jordan,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,New Zealand,Papua New Guinea,World,China,Indonesia,Japan,Malaysia,Philippines,Russian Federation,Thailand,Vietnam,Israel,Saudi Arabia,World,China,Indonesia,Russian Federation,Vietnam,World,World,Japan,Japan,Korea Republic of,Korea Republic of,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,Head/number,Quantity,Quantity,Quantity,Quantity,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Unit value,Unit value,Unit value,Unit value,Price,Unit value,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
Unit,'000,kg,kt,kt,kt,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,c/kg,c/kg,c/kg,c/kg,USc/kg,c/kg,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Frequency,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Fiscal Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Oct-Sep Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year
Notes,"a,1","1, 2","1,2","a, 3","a,1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"1, 4",4,4,4,4,4,4,4,4,"1, 4",4,4,4,4,4,4,4,4,"1, 4",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"b,3",3,3,3,3,3,3,3,3,"c,3","c,3","c,d,3","c,3","c,3","c,3","c,3","c,d,3","c,3","c,3","c,3","e,3","e,3","e,3","e,3","e,3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"g,3",3,3,3,3,3,3,3,3,"c,3","c,3","c,d,3","c,3","c,3","c,3","c,3","c,d,3","c,3","c,3","c,3",,,,,,,3,3,3,3,"i,5",3,"j,6",4,"j,6","j,6","j,k,6","j,6","j,c,6","j,6","j,6","j,6","j,6","j,6","j,6","j,6","j,6",6,2,6,6,"k,6","g,6","c,6",6,6,6,6,6,6,6,6,6
Series Start,1972,1972,1972,1972,1972,1982,1982,1982,1982,1982,1982,1982,1982,1982,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1980,1972,1985,1986,1986,1986,1985,1986,1986,1986,1986,1986,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1972,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1981,1986,1986,1986,1986,1986,1986,1985,1985,1986,1985,1985,1985,1986,1986,1986,1986,1986,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1972,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1974,1979,1979,1994,1986,1978,1986,1972,1972,1972,1972,1973,1972,1972,1972,1972,1972,1972,1986,1972,1972,1972,1972,1972,1972,1972,1973,1972,1972,1972,1972,1972,1994,1986,1972,1972,1972,1972
