Year,31 March,30 June,30 September,31 December
2023,132.6,-,-,-
2022,123.9,126.1,128.4,130.8
2021,117.9,118.8,119.7,121.3
2020,116.6,114.4,116.2,117.2
2019,114.1,114.8,115.4,116.2
2018,112.6,113,113.5,114.1
2017,110.5,110.7,111.4,112.1
2016,108.2,108.6,109.4,110
2015,106.8,107.5,108,108.4
2014,105.4,105.9,106.4,106.6
2013,102.4,102.8,104,104.8
2012,99.9,100.4,101.8,102
2011,98.3,99.2,99.8,99.8
2010,95.2,95.8,96.5,96.9
2009,92.5,92.9,93.8,94.3
2008,90.3,91.6,92.7,92.4
2007,86.6,87.7,88.3,89.1
2006,84.5,85.9,86.7,86.6
2005,82.1,82.6,83.4,83.8
2004,80.2,80.6,80.9,81.5
2003,78.6,78.6,79.1,79.5
2002,76.1,76.6,77.1,77.6
2001,73.9,74.5,74.7,75.4
2000,69.7,70.2,72.9,73.1
1999,67.8,68.1,68.7,69.1
1998,67,67.4,67.5,67.8
1997,67.1,66.9,66.6,66.8
1996,66.2,66.7,66.9,67
1995,63.8,64.7,65.5,66
1994,61.5,61.9,62.3,62.8
1993,60.6,60.8,61.1,61.2
1992,59.9,59.7,59.8,60.1
1991,58.9,59,59.3,59.9
1990,56.2,57.1,57.5,59
1989,51.7,53,54.2,55.2
1988,48.4,49.3,50.2,51.2
1987,45.3,46,46.8,47.6
1986,41.4,42.1,43.2,44.4
1985,37.9,38.8,39.7,40.5
