year,region,hectares_harvested,cane_crushed,sugar_produced,yield
2014,Herbert-Burdekin,126963,12213695,1774250,13974.543764718856
2015,Herbert-Burdekin,127064,12737984,1872298,14735.078385695397
2016,Herbert-Burdekin,124922,13522425,1840860,14736.07531099406
2017,Herbert-Burdekin,125878,13154061,1819406,14453.72503535169
2018,Herbert-Burdekin,125908,12741351,1908359,15156.773199478985
2019,Herbert-Burdekin,124190,11964772,1784220,14366.857234882034
2020,Herbert-Burdekin,121426,12155491,1763709,14524.969940539917
2021,Herbert-Burdekin,120491,11684926,1658710,13766.256400893013
2014,Mackay-Proserpine,107702,8555987,1235077,11467.54006425136
2015,Mackay-Proserpine,107863,8010564,1169360,10841.159619146509
2016,Mackay-Proserpine,100407,8905999,1141270,11366.43859491868
2017,Mackay-Proserpine,105140,7578885,1021001,9710.871219326613
2018,Mackay-Proserpine,108001,7375712,1067205,9881.43628299738
2019,Mackay-Proserpine,106464,7744491,1103392,10363.991584009618
2020,Mackay-Proserpine,103940,7921554,1136276,10932.037714065807
2021,Mackay-Proserpine,101054,8258828,1166253,11540.889029627724
2014,Northern,82187,6634943,864441,10517.977295679366
2015,Northern,80549,7636039,969829,12040.236377856956
2016,Northern,84247,7882048,938631,11141.417498545943
2017,Northern,80844,6903568,879936,10884.369897580526
2018,Northern,80207,6666625,959771,11966.175022130239
2019,Northern,78098,5881737,775157,9925.43983200594
2020,Northern,77346,6481857,854451,11047.125901791947
2021,Northern,76504,6205146,766203,10015.201819512706
2014,Southern,46486,3411638,494252,10632.276384287743
2015,Southern,49684,4269951,622192,12522.985266886724
2016,Southern,45896,4096086,593974,12941.73784207774
2017,Southern,46096,3835027,533912,11582.610204790002
2018,Southern,48298,3705045,543511,11253.281709387553
2019,Southern,41330,2852049,422170,10214.61408178079
2020,Southern,37902,2771433,370260,9768.877631787242
2021,Southern,31067,2363978,330809,10648.244117552387
