date,location,latitude,longitude,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,relativehumidity_2m,precipitation_sum,et0_fao_evapotranspiration
2040-01-01,Mossman Mill,-16.458395872325614,145.37872247775334,32.3,28.5,18.79,82,5.02,4.06
2040-01-02,Mossman Mill,-16.458395872325614,145.37872247775334,33.4,27.7,21.61,80,0.61,4.45
2040-01-03,Mossman Mill,-16.458395872325614,145.37872247775334,34.6,27.8,24.24,83,2.05,5.35
2040-01-04,Mossman Mill,-16.458395872325614,145.37872247775334,33.3,27.1,23.75,88,9.33,5.53
2040-01-05,Mossman Mill,-16.458395872325614,145.37872247775334,31.8,26.3,20.94,89,5.43,4.74
2040-01-06,Mossman Mill,-16.458395872325614,145.37872247775334,29.5,25.9,19.44,95,7.89,4.14
2040-01-07,Mossman Mill,-16.458395872325614,145.37872247775334,29.1,25.9,19.54,94,3.59,4.08
2040-01-08,Mossman Mill,-16.458395872325614,145.37872247775334,30.6,25.2,22.27,89,1.74,4.65
2040-01-09,Mossman Mill,-16.458395872325614,145.37872247775334,30.7,25.2,24.9,87,1.95,5.43
2040-01-10,Mossman Mill,-16.458395872325614,145.37872247775334,31.9,25.8,25.52,85,1.03,5.73
2040-01-11,Mossman Mill,-16.458395872325614,145.37872247775334,30.6,26.2,22.1,91,9.33,4.99
2040-01-12,Mossman Mill,-16.458395872325614,145.37872247775334,30.3,24.7,21.81,92,18.87,4.86
2040-01-13,Mossman Mill,-16.458395872325614,145.37872247775334,31.4,27.1,20.4,87,4.21,4.52
2040-01-14,Mossman Mill,-16.458395872325614,145.37872247775334,33.1,27.6,21.42,81,1.44,4.71
2040-01-15,Mossman Mill,-16.458395872325614,145.37872247775334,34.3,27.4,23.25,80,2.98,5.02
2040-01-16,Mossman Mill,-16.458395872325614,145.37872247775334,34.2,27.4,22.76,83,3.9,5.09
2040-01-17,Mossman Mill,-16.458395872325614,145.37872247775334,33.6,27.4,23.37,85,3.39,5.34
2040-01-18,Mossman Mill,-16.458395872325614,145.37872247775334,31.4,26.5,16.7,90,10.37,3.55
2040-01-19,Mossman Mill,-16.458395872325614,145.37872247775334,29.6,26.2,20.15,95,9.34,3.9
2040-01-20,Mossman Mill,-16.458395872325614,145.37872247775334,29.3,25.5,22.59,94,7.29,4.57
2040-01-21,Mossman Mill,-16.458395872325614,145.37872247775334,29.9,25.4,23.92,92,2.87,5.08
2040-01-22,Mossman Mill,-16.458395872325614,145.37872247775334,30.2,25.7,20.49,92,2.67,4.4
2040-01-23,Mossman Mill,-16.458395872325614,145.37872247775334,30.5,25.6,19.99,92,31.21,4.36
2040-01-24,Mossman Mill,-16.458395872325614,145.37872247775334,29.0,25.4,12.79,97,20.95,2.37
2040-01-25,Mossman Mill,-16.458395872325614,145.37872247775334,27.9,26.0,8.33,96,14.27,1.46
