date,location,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,windspeed_10m_max,et0_fao_evapotranspiration,river_discharge
1990-01-01,Brisbane,-27.5,153.0,28.6,18.3,22.5,0.0,0.0,14.1,5.97,33.2
1990-01-02,Brisbane,-27.5,153.0,29.3,17.0,22.9,0.0,0.0,13.4,6.23,31.58
1990-01-03,Brisbane,-27.5,153.0,30.8,19.3,24.1,0.0,0.0,13.1,6.46,30.41
1990-01-04,Brisbane,-27.5,153.0,35.5,18.5,26.0,0.0,0.0,16.8,7.28,29.48
1990-01-05,Brisbane,-27.5,153.0,27.4,22.0,24.3,0.0,0.0,19.4,4.71,28.85
1990-01-06,Brisbane,-27.5,153.0,26.5,21.1,23.7,0.7,6.0,13.0,3.18,28.51
1990-01-07,Brisbane,-27.5,153.0,28.8,21.4,24.3,0.0,0.0,16.8,5.15,28.31
1990-01-08,Brisbane,-27.5,153.0,29.2,20.9,24.3,0.0,0.0,16.6,5.79,28.11
1990-01-09,Brisbane,-27.5,153.0,26.1,20.6,23.5,0.0,0.0,15.0,3.95,27.91
1990-01-10,Brisbane,-27.5,153.0,28.4,20.2,24.1,0.0,0.0,16.1,5.31,27.64
1990-01-11,Brisbane,-27.5,153.0,23.0,20.6,22.0,7.0,14.0,10.5,1.19,33.91
1990-01-12,Brisbane,-27.5,153.0,26.7,20.0,23.0,1.7,3.0,12.6,4.2,39.64
1990-01-13,Brisbane,-27.5,153.0,30.8,20.4,24.9,0.5,2.0,15.0,5.32,38.36
1990-01-14,Brisbane,-27.5,153.0,32.2,22.0,25.8,2.9,2.0,14.5,5.04,37.28
1990-01-15,Brisbane,-27.5,153.0,31.1,23.2,25.9,9.2,8.0,20.1,5.0,96.05
1990-01-16,Brisbane,-27.5,153.0,30.2,22.3,25.4,16.2,9.0,14.4,4.03,143.88
1990-01-17,Brisbane,-27.5,153.0,25.5,21.2,23.0,1.6,10.0,18.8,4.32,136.72
1990-01-18,Brisbane,-27.5,153.0,27.0,21.0,23.6,0.0,0.0,15.2,4.58,112.5
1990-01-19,Brisbane,-27.5,153.0,28.6,20.2,24.1,0.0,0.0,13.3,5.67,88.54
1990-01-20,Brisbane,-27.5,153.0,28.0,21.0,24.3,1.4,5.0,13.4,4.34,71.28
1990-01-21,Brisbane,-27.5,153.0,29.4,22.5,25.2,1.4,7.0,15.0,4.8,58.98
1990-01-22,Brisbane,-27.5,153.0,29.0,21.7,24.5,0.1,1.0,18.6,4.93,50.4
1990-01-23,Brisbane,-27.5,153.0,28.2,20.8,23.5,0.0,0.0,23.8,6.16,44.81
1990-01-24,Brisbane,-27.5,153.0,27.1,20.5,23.3,0.0,0.0,26.7,5.81,40.78
1990-01-25,Brisbane,-27.5,153.0,29.2,20.1,23.7,0.0,0.0,17.9,6.5,37.55
1990-01-26,Brisbane,-27.5,153.0,28.9,18.2,23.3,0.0,0.0,15.6,5.5,34.89
1990-01-27,Brisbane,-27.5,153.0,33.7,20.3,26.1,0.0,0.0,12.8,6.37,32.81
1990-01-28,Brisbane,-27.5,153.0,35.2,22.0,27.3,0.0,0.0,16.8,6.79,31.28
1990-01-29,Brisbane,-27.5,153.0,30.0,22.1,25.7,0.0,0.0,18.6,4.2,30.19
1990-01-30,Brisbane,-27.5,153.0,28.1,21.3,24.5,0.6,3.0,21.9,5.29,29.34
1990-01-31,Brisbane,-27.5,153.0,30.0,19.7,24.2,1.9,3.0,19.6,5.14,43.57
