,Year,Queensland
14,1976,11036.00
15,1977,10856.00
16,1978,10261.00
17,1979,9756.00
18,1980,9359.00
19,1981,9210.00
20,1982,8980.70
21,1983,8782.80
22,1984,9051.00
23,1985,9303.50
24,1986,8674.80
25,1987,8503.70
26,1988,8682.00
27,1989,9194.90
28,1990,9575.20
29,1991,9730.40
30,1992,9593.20
31,1993,9656.10
32,1994,9689.10
33,1995,9928.30
34,1996,10123.00
35,1997,10562.30
36,1998,10443.60
37,1999,11502.60
38,2000,11087.60
39,2001,11283.80
40,2002,10507.40
41,2003,11244.80
42,2004,11379.60
43,2005,11353.90
44,2006,11494.90
45,2007,11730.60
46,2008,12151.40
47,2009,11193.30
48,2010,12449.63
49,2011,11989.53
50,2012,12628.33
51,2013,12754.97
52,2014,11178.49
53,2015,10390.12
54,2016,10992.60
55,2017,11909.95
56,2018,11156.29
57,2019,10381.26
58,2020,10605.37
