Value,Region,2014,2015,2016,2017,2018,2019,2020,2021
hectares_harvested,Northern,82187,80549,84247,80844,80207,78098,77346,76504
hectares_harvested,Herbert-Burdekin,126963,127064,124922,125878,125908,124190,121426,120491
hectares_harvested,Mackay-Proserpine,107702,107863,100407,105140,108001,106464,103940,101054
hectares_harvested,Southern,46486,49684,45896,46096,48298,41330,37902,31067
cane_crushed,Northern,6634943,7636039,7882048,6903568,6666625,5881737,6481857,6205146
cane_crushed,Herbert-Burdekin,12213695,12737984,13522425,13154061,12741351,11964772,12155491,11684926
cane_crushed,Mackay-Proserpine,8555987,8010564,8905999,7578885,7375712,7744491,7921554,8258828
cane_crushed,Southern,3411638,4269951,4096086,3835027,3705045,2852049,2771433,2363978
sugar_produced,Northern,864441,969829,938631,879936,959771,775157,854451,766203
sugar_produced,Herbert-Burdekin,1774250,1872298,1840860,1819406,1908359,1784220,1763709,1658710
sugar_produced,Mackay-Proserpine,1235077,1169360,1141270,1021001,1067205,1103392,1136276,1166253
sugar_produced,Southern,494252,622192,593974,533912,543511,422170,370260,330809
